.,Longitude,District,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
23.5,84.25,Mahuadanr,Jharkhand,1.13,0.27,3.33,1.07,2.22,3.96,6.77,5.27,3.85,1.22,0.46,0.04
23.5,84.5,Peshrar,Jharkhand,1.87,0.92,4.71,0.95,2.97,5.21,9.54,11.11,4.55,5.41,1.16,0.13
23.5,84.75,Lohardaga,Jharkhand,1.28,0.92,4.13,0.79,1.67,6.27,7.94,9.03,5.13,4.03,0.59,0.08
23.5,85,Chanho,Jharkhand,0.43,0.36,2.34,1.52,2.03,7.65,7.17,6.23,5.8,2.65,0.57,0
23.5,85.25,Kanke,Jharkhand,0.46,0.11,2.18,0.62,1.35,5.95,6.5,6.42,3.87,1.58,0.06,0
23.5,85.5,Ormanjhi,Jharkhand,0.48,0.38,2.41,0.76,2.25,6.96,6.8,8.96,3.43,1.25,0.16,0
23.5,85.75,Gola,Jharkhand,0.5,0.31,2.49,0.31,1.37,4.8,7,10.8,2.09,0.33,0.05,0.02
23.5,86,Jaridih,Jharkhand,1.14,0.13,1.94,1.07,2.75,6.93,7.82,10.05,4.3,2.33,0.17,0.04
23.5,86.25,Chas,Jharkhand,0.97,0.05,1.71,1.27,2.72,10.08,8.9,8.62,5.5,1.97,0.1,0.03
23.5,86.5,Para,West Bengal,0.43,0.06,1.88,0.89,2.31,8.47,10.84,8.18,6.15,1.06,0.01,0
23.5,86.75,Raghunathpur - I,West Bengal,0.98,0.04,2.16,1.71,3.76,7.42,11.84,9.44,6.22,2.79,0.01,0
23.5,87,Saltora,West Bengal,0.87,0.02,3.23,3.74,6.01,12.18,10.16,7.12,6.18,3.17,0,0
23.5,87.25,Barjora,West Bengal,0.65,0.06,1.77,2.61,5.31,9.93,10.49,7.8,3.18,1.14,0.02,0
23.5,87.5,Ausgram - II,West Bengal,0.66,0.04,1.36,1.4,6.25,12.39,10.02,7.76,3.7,1.48,0.03,0
23.5,87.75,Mangolkote,West Bengal,0.76,0.01,1.78,2.02,7.17,13.67,9.93,8.21,1.63,0.95,0.07,0
23.5,88,Mangolkote,West Bengal,0.79,0.07,1.95,1.84,6.66,7.75,10.29,6.89,2.22,0.69,0.11,0
23.5,88.25,Purbasthali - II,West Bengal,0.81,0.11,2.08,2.16,6.59,6.37,9.15,6.58,2.61,1.14,0.12,0
23.5,88.5,Krishnagar-II,West Bengal,0.8,0.13,2.07,2.15,6.81,7.7,9.77,7.72,2.79,1.79,0.11,0
23.5,88.75,Damurhuda Upazila,Khulna Division,0.91,0.16,2.26,2.03,7.32,8.31,9.7,7.87,2.88,2.05,0.1,0
23.5,91.25,Sonamura,Tripura,0.99,0.15,0.03,5.28,9.41,15.29,13.85,5.49,9.03,6.22,1.11,0
23.5,91.5,Udaipur,Tripura,1.33,0.13,0.17,5.9,10.13,15.12,14.13,5.83,9.44,6.81,1.77,0
23.5,91.75,Amarpur,Tripura,1.57,0.16,0.23,5.58,9.81,11.83,10.96,6.9,7.41,8.64,1.57,0
23.5,92.25,Bagaichhari Upazila,Chattogram Division,1.14,0.21,0.11,3.67,5.79,5.53,8.45,6.59,5.78,7.59,1.15,0
23.5,92.5,West Phaileng,Mizoram,0.76,0.2,0.07,3.25,4.99,5.09,8.44,6.22,5.32,7.26,1.28,0
23.5,92.75,Aibawk,Mizoram,0.92,0.21,0.08,3.45,5.4,5.3,8.76,6.72,5.57,7.53,1.2,0
23.5,93,Serchhip,Mizoram,0.93,0.21,0.08,3.34,5.24,5.17,8.81,6.8,5.46,7.22,1.21,0
23.5,93.25,Khawzawl,Mizoram,0.84,0.21,0.06,3.11,4.92,4.94,8.64,6.57,5.29,6.84,1.27,0
23.75,68,Sujawal District,Sindh,0.01,0,0.01,0,0,0.16,6.04,17.82,2.84,0.27,0,0
23.75,68.25,Unknown,Gujarat,0.01,0,0.01,0,0,0.24,6.11,17.84,2.82,0.27,0,0
23.75,68.5,Unknown,Gujarat,0,0,0.01,0,0,0.21,5.93,17.68,2.94,0.21,0,0
23.75,68.75,Lakhpat Taluka,Gujarat,0,0,0,0,0,0.03,5.62,17.44,3.08,0.14,0,0
23.75,69,Lakhpat Taluka,Gujarat,0,0,0.03,0,0,0.61,6.24,17.74,2.91,0.26,0,0
23.75,69.25,Bhuj Taluka,Gujarat,0.01,0,0.09,0,0,1.9,7.05,17.85,2.89,0.45,0,0
23.75,69.5,Bhuj Taluka,Gujarat,0.02,0,0.12,0.01,0,2.69,6.39,17.36,3.47,1.48,0,0
23.75,69.75,Bhuj Taluka,Gujarat,0.02,0,0.11,0.01,0,2.98,6.87,17.95,3.79,2.12,0,0
23.75,70,Unknown,Gujarat,0.02,0,0.04,0.01,0,2.66,6.97,16.32,4.39,2.15,0,0
23.75,70.25,Unknown,Gujarat,0,0,0,0,0,2.87,7.74,14.71,4.88,1.44,0,0
23.75,70.5,Rapar Taluka,Gujarat,0,0,0,0,0,3.36,6.89,12.69,5.24,1.28,0,0
23.75,70.75,Rapar Taluka,Gujarat,0,0,0,0,0,3.45,6.51,12.73,5.14,1.18,0,0
23.75,71,Unknown,Gujarat,0,0,0,0,0,3.06,4.76,14.61,4.2,0.68,0,0
23.75,71.25,Santalpur Taluka,Gujarat,0,0,0.01,0,0,2.27,2.59,16.81,2.29,0.2,0,0
23.75,71.5,Radhanpur Taluka,Gujarat,0,0,0,0,0,2.63,2.92,19.18,1.8,0.22,0,0
23.75,71.75,Sami Taluka,Gujarat,0,0,0,0,0,3.12,2.35,18.5,1.58,0.28,0,0
23.75,72,Patan Taluka,Gujarat,0,0,0.03,0,0,2.32,2.76,16.63,1.43,0.11,0,0
23.75,72.25,Patan Taluka,Gujarat,0,0,0.13,0,0,2.09,4.07,22.02,3.89,0.15,0,0.08
23.75,72.5,Visnagar Taluka,Gujarat,0,0,0.01,0,0,1.86,2.43,13.41,2,0.16,0,0.1
23.75,72.75,Vijapur Taluka,Gujarat,0,0,0.34,0,0,3.87,3.54,15.66,4.66,0.69,0,0.04
23.75,73,Idar Taluka,Gujarat,0,0,0.41,0,0.01,2.2,4.34,19.45,5.4,0.21,0,0.05
23.75,73.25,Bhiloda Taluka,Gujarat,0,0,0.36,0,0,1.34,5.46,20.92,3.78,0.13,0,0.1
23.75,73.5,Bichiwara Tehsil,Rajasthan,0,0,0.11,0,0,0.9,3.94,10.34,5.31,0.06,0,0.04
23.75,73.75,Jhonthtri Tehsil,Rajasthan,0,0,0.1,0,0,0.79,3.96,10.88,5.02,0.17,0,0.04
23.75,74,Sagwara Tehsil,Rajasthan,0,0,0.2,0,0,1.93,6.9,22.29,7.06,0.45,0,0.06
23.75,74.25,Garhi Tehsil,Rajasthan,0,0,0.23,0.02,0,2.88,8.21,22.94,6.76,0,0,0.25
23.75,74.5,Ghatol Tehsil,Rajasthan,0,0,0.31,0,0.12,2.38,7.81,22.48,9.16,0.09,0,0.21
23.75,74.75,Peepal Khoont Tehsil,Rajasthan,0,0,0.1,0.05,0.02,4.11,6.75,16.35,8.31,0.82,0,0.33
23.75,75,Piploda Tahsil,Madhya Pradesh,0,0,0.2,0,0,6.76,6.01,14.81,8.48,1.43,0,0.66
23.75,75.25,Jaora Tahsil,Madhya Pradesh,0.06,0,0.28,0,0.02,5.15,4.73,13.57,5.78,1.25,0.01,0.38
23.75,75.5,Alot Tahsil,Madhya Pradesh,0.26,0,0.56,0,0.06,4.22,4.86,15.19,2.8,0.24,0.01,0.11
23.75,75.75,Badod Tahsil,Madhya Pradesh,0.66,0,0.69,0,0,7.21,9.54,14.66,2.23,0.07,0,0.39
23.75,76,Agar Tahsil,Madhya Pradesh,0.51,0,0.41,0,0,6.62,6.19,14.48,2.64,0.17,0,0.44
23.75,76.25,Nalkheda Tahsil,Madhya Pradesh,0.31,0,0.5,0.02,0.03,4.98,3.08,17.71,3.78,0.12,0,0.44
23.75,76.5,Sarangpur Tahsil,Madhya Pradesh,0.35,0,0.63,0.04,0.08,4.1,4.44,20.6,4.54,0,0,0.43
23.75,76.75,Khujner Tahsil,Madhya Pradesh,0.28,0,0.33,0.17,0.3,6.68,6.13,22.64,4.16,0.24,0.01,0.35
23.75,77,Narsinghgarh Tahsil,Madhya Pradesh,0.18,0,0.32,0.3,0.55,8.69,5.84,22.24,2.85,0.55,0,0.35
23.75,77.25,Berasia Tahsil,Madhya Pradesh,0.13,0,0.33,0.11,0.34,10.27,4.54,15.89,3.11,0.37,0,0.31
23.75,77.5,Berasia Tahsil,Madhya Pradesh,0.1,0,0.5,0,0.26,10.23,3.18,12.51,3.8,0.08,0.05,0.26
23.75,77.75,Nateran Tahsil,Madhya Pradesh,0.09,0,0.72,0,0.39,9.72,2.8,13.41,4.1,0,0.09,0.23
23.75,78,Basoda Tahsil,Madhya Pradesh,0.08,0,1.13,0,0.29,8.41,5.05,22.52,4.87,0,0.03,0.1
23.75,78.25,Tyonda Tahsil,Madhya Pradesh,0.07,0,1.14,0.01,0.32,7.88,6.26,24.13,4.91,0,0,0.08
